SN,PART #,DESCRIPTION,UOM,BRAND,PRICE,CURRENCY
64,00-0338,"KIT, GCS3000DX V.2 SYSTEM UPGRADE",UPGRADE,THERMOFISHER,"11,040.00",GBP
65,00-0356,"96F, GENETITAN EACH",EACH,THERMOFISHER,"183,195.00",GBP
66,00-0356R,"REFURBED 96F, GENETITAN FLUIDICS",FLUIDICS,THERMOFISHER,"249,320.00",GBP
67,00-0359,GENETITAN SYSTEM UPGRADE NA EACH,EACH,THERMOFISHER,"216,545.00",GBP
68,00-0360R,GENETITAN EXPRESSION RGT RENTA EACH,EACH,THERMOFISHER,"395,485.00",GBP
69,00-0362,GCS3000 7G W/AL & 2 FS450 BUNDLE WW,BUNDLE WW,THERMOFISHER,"256,565.00",GBP
70,00-0362G,GCS3000 GENOTYPING SYSTEM BUND WW AND GA,WW AND GA,THERMOFISHER,"287,155.00",GBP
71,00-0363,GENETITAN SYSTEM INTERNATIONAL EACH,EACH,THERMOFISHER,"325,795.00",GBP
72,00-0370,"SCANNER, GENETITAN MC EACH",EACH,THERMOFISHER,"231,495.00",GBP
73,00-0370R,"REFURBED SCANNER, GENETITAN EACH",EACH,THERMOFISHER,"334,650.00",GBP
74,00-0372,GENETITAN MC SYSTEM NA EACH,EACH,THERMOFISHER,"291,640.00",GBP
75,00-0372AG,GENETITAN MC SYSTEM NA AG EACH,EACH,THERMOFISHER,"323,955.00",GBP
76,00-0372C,"GENETITAN MC SYSTEM NA, CA EACH",EACH,THERMOFISHER,"355,005.00",GBP
77,00-0372E,"GENETITAN MC SYSTEM NA, EA EACH",EACH,THERMOFISHER,"385,595.00",GBP
78,00-0372R,"GENETITAN MC SYSTEM NA, REFURB EACH",EACH,THERMOFISHER,"332,235.00",GBP
79,00-0372RAG,"GENETITAN MC SYSTEM NA AG, RF EACH",EACH,THERMOFISHER,"369,035.00",GBP
80,00-0373,GENETITAN MC SYSTEM INTL EACH,EACH,THERMOFISHER,"291,640.00",GBP
81,00-0373AG,GENETITAN MC SYSTEM INTL AG EACH,EACH,THERMOFISHER,"336,950.00",GBP
82,00-0373C,"GENETITAN MC SYSTEM INTL, CA EACH",EACH,THERMOFISHER,"355,005.00",GBP
83,00-0373E,"GENETITAN MC SYSTEM INTL, EA EACH",EACH,THERMOFISHER,"385,595.00",GBP
84,00-0373ER,"GENETITAN MC SYSTEM INT, REFRB EACH",EACH,THERMOFISHER,"301,022.85",GBP
85,00-0373R,"GENETITAN MC SYSTEM INT, REFRB EACH",EACH,THERMOFISHER,"332,235.00",GBP
86,00-0373RAG,"GENETITAN MC SYSTEM INT AG, RF EACH",EACH,THERMOFISHER,"369,035.00",GBP
87,00-0400-46,ELISA WASH BUFFER 10X1L PACK,10X1L PACK,THERMOFISHER,91.43,GBP
88,00-0400-59,ELISA WASH BUFFER POWDER 1L PACK,1L PACK,THERMOFISHER,96.60,GBP
89,00-0401,NIMBUS TARGET PREP INSTRUMENT EACH,EACH,THERMOFISHER,"120,405.00",GBP
90,00-0402E,PREOWNED GCS3000 7G W/WORKSTAT AUTOLOADER,AUTOLOADER,THERMOFISHER,"119,715.00",GBP
91,00-0402G,"PO GCS3000 7G W/WS & AL WW, GA","WW, GA",THERMOFISHER,"119,715.00",GBP
92,00-0403E,"PREOWNED GCS3000 7G SYSTEM WW, EA- EACH",EA- EACH,THERMOFISHER,"108,215.00",GBP
93,00-0403G,"PREOWNED GCS3000 7G SYSTEM WW, EACH",EACH,THERMOFISHER,"106,260.00",GBP
94,00-0430,CONCERTO RUO 120V 09337407001 EA- EACH,EA- EACH,THERMOFISHER,"240,235.00",GBP
95,00-0431,CONCERTO RUO 230V 09337458001 EA- EACH,EA- EACH,THERMOFISHER,"235,750.00",GBP
96,00-0436,CONCERTO IVD 120V 09337393001 KIT,KIT,THERMOFISHER,"298,310.00",GBP
97,00-0437,CONCERTO IVD 230V 09337423001 KIT,KIT,THERMOFISHER,"298,310.00",GBP
98,00-0441,GENETITAN SCANNER EA,EA,THERMOFISHER,"281,750.00",GBP
99,00-0442,"GENETITAN SCANNER, NA EACH",EACH,THERMOFISHER,"293,595.00",GBP
